normalized_url,canonical_url,source,host,page_type,location,service_intent,clicks,impressions,indexed_status,current_v2_status,target_url,notes
/itad/server-recycling-kochi.html,https://www.ewastekochi.com/itad/server-recycling-kochi.html,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,,0,0,404,leave_404,,classification_source=rule
/itad/services/networking-cables-scrap.html,https://www.ewastekochi.com/itad/services/networking-cables-scrap.html,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,,0,0,crawled_not_indexed,leave_404,,classification_source=rule
/itad/services/networking-cables-scrap/,https://www.ewastekochi.com/itad/services/networking-cables-scrap/,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,networking-cables-scrap,0,0,404,leave_404,,classification_source=rule
/itad/services/sell-ups-batteries-kochi.html,https://www.ewastekochi.com/itad/services/sell-ups-batteries-kochi.html,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,,0,0,404,leave_404,,classification_source=rule
/landing/,https://www.ewastekochi.com/landing/,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,landing,0,0,404,leave_404,,classification_source=rule
/laptop-recycling-near-me/,https://www.ewastekochi.com/laptop-recycling-near-me/,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,laptop-recycling-near-me,2,15,404,manual_review,,classification_source=rule
/lcd-monitor-recycling-kochi.html,https://www.ewastekochi.com/lcd-monitor-recycling-kochi.html,gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,,0,0,404,leave_404,,classification_source=rule
/locations/,https://www.ewastekochi.com/locations/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,other-legacy-service,,locations,2,63,redirect,keep_200,https://www.ewastekochi.com/locations/,classification_source=v2-live;confirmed_indexed_2026-07-10
/locations/aluva/,https://www.ewastekochi.com/locations/aluva/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-page,aluva,aluva,17,293,redirect,keep_200,https://www.ewastekochi.com/locations/aluva/,classification_source=v2-live;confirmed_indexed_2026-07-10
/locations/aluva/air-conditioner-recycling-kochi/,https://www.ewastekochi.com/locations/aluva/air-conditioner-recycling-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,air-conditioner-recycling-kochi,0,1,alt_canonical|crawled_not_indexed,leave_404,,classification_source=rule
/locations/aluva/battery-recycling-kochi/,https://www.ewastekochi.com/locations/aluva/battery-recycling-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,battery-recycling-kochi,0,2,redirect,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/aluva/certificate-of-destruction-kochi/,https://www.ewastekochi.com/locations/aluva/certificate-of-destruction-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,certificate-of-destruction-kochi,0,0,redirect,leave_404,,classification_source=rule;confirmed_indexed_2026-07-10
/locations/aluva/corporate-ewaste-kochi/,https://www.ewastekochi.com/locations/aluva/corporate-ewaste-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,corporate-ewaste-kochi,0,0,alt_canonical|crawled_not_indexed,leave_404,,classification_source=rule
/locations/aluva/data-destruction-kochi/,https://www.ewastekochi.com/locations/aluva/data-destruction-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,data-destruction-kochi,0,3,redirect,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/aluva/dpdp-act-compliance-kochi/,https://www.ewastekochi.com/locations/aluva/dpdp-act-compliance-kochi/,gsc-indexed-url-upgrade-map;gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,dpdp-act-compliance-kochi,0,0,indexed,leave_404,,classification_source=indexed-pages-crosscheck-2026-07-10
/locations/aluva/e-waste-recycling-kochi/,https://www.ewastekochi.com/locations/aluva/e-waste-recycling-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,e-waste-recycling-kochi,0,20,redirect,redirect_301,(see vercel.json),classification_source=v2-redirect
/locations/aluva/free-ewaste-pickup-kochi/,https://www.ewastekochi.com/locations/aluva/free-ewaste-pickup-kochi/,gsc-url-protection-map,www.ewastekochi.com,location-service-matrix,aluva,free-ewaste-pickup-kochi,1,15,redirect,redirect_301,(see vercel.json),classification_source=v2-redirect
